n,combo,best_params,accuracy
4,"('Q1', 'Q2', 'Q4', 'Q5')","{'C': 1, 'gamma': 'scale', 'kernel': 'poly'}",0.4868421052631579
4,"('Q2', 'Q3', 'Q4', 'Q5')","{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}",0.4868421052631579
5,"('Gender', 'Q1', 'Q2', 'Q3', 'Q5')","{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.4868421052631579
5,"('Total', 'MCQ', 'Q1', 'Q2', 'Q5')","{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.4868421052631579
3,"('Total', 'Q2', 'Q4')","{'C': 1, 'gamma': 'scale', 'kernel': 'poly'}",0.48026315789473684
6,"('Total', 'MCQ', 'Q1', 'Q2', 'Q3', 'Q5')","{'C': 10, 'gamma': 'scale', 'kernel': 'poly'}",0.48026315789473684
3,"('MCQ', 'Q2', 'Q3')","{'C': 0.001, 'gamma': 'scale', 'kernel': 'rbf'}",0.47368421052631576
3,"('Q1', 'Q3', 'Q5')","{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.47368421052631576
4,"('Gender', 'Q1', 'Q2', 'Q5')","{'C': 0.001, 'gamma': 'scale', 'kernel': 'linear'}",0.47368421052631576
4,"('MCQ', 'Q1', 'Q2', 'Q5')","{'C': 0.1, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.47368421052631576
3,"('Q1', 'Q2', 'Q5')","{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.46710526315789475
4,"('Total', 'Q2', 'Q3', 'Q5')","{'C': 0.1, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.46710526315789475
3,"('Gender', 'Q2', 'Q3')","{'C': 0.1, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.4605263157894737
3,"('Gender', 'Q1', 'Q2')","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.45394736842105265
3,"('Gender', 'Q1', 'Q3')","{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.45394736842105265
3,"('Total', 'Q2', 'Q5')","{'C': 0.1, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.45394736842105265
5,"('Total', 'MCQ', 'Q2', 'Q3', 'Q5')","{'C': 1, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.4473684210526316
4,"('Gender', 'Q1', 'Q3', 'Q4')","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.4407894736842105
5,"('Q1', 'Q2', 'Q3', 'Q4', 'Q5')","{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}",0.4407894736842105
4,"('Gender', 'Q1', 'Q2', 'Q3')","{'C': 0.001, 'gamma': 'scale', 'kernel': 'rbf'}",0.4276315789473684
3,"('Gender', 'Q3', 'Q4')","{'C': 10, 'gamma': 'scale', 'kernel': 'poly'}",0.4144736842105263
