Gender,Programme,Total,MCQ,Q1,Q2,Q3,Q4,Q5
2,2,71,36,8,4,10,10,3
1,4,36,24,8,0,4,0,0
2,1,64,42,6,4,10,0,2
2,2,66,30,8,4,14,10,0
2,1,75,39,6,6,12,10,2
2,1,67,30,8,4,12,10,3
2,2,68,42,8,6,7,5,0
2,1,73,33,8,6,14,8,4
1,4,56,36,8,4,8,0,0
2,1,61,39,4,4,14,0,0
2,4,43,21,4,4,12,2,0
2,2,29,21,6,0,2,0,0
2,4,28,18,6,0,4,0,0
2,4,61,27,8,2,14,10,0
2,2,59,30,8,0,14,7,0
2,1,70.5,33,6,8,14,7.5,2
1,4,64,39,6,0,14,5,0
1,2,37,27,4,0,6,0,0
2,2,59,33,8,0,10,8,0
1,2,72,39,8,4,14,7,0
1,4,47,21,8,4,14,0,0
2,4,40,24,4,0,10,2,0
1,4,41,27,6,0,6,0,2
2,4,58,42,8,2,2,4,0
2,1,75,39,8,6,14,8,0
1,4,50,30,4,0,14,0,2
1,4,52,36,8,0,8,0,0
2,4,69,33,8,4,14,7,3
1,4,91,51,8,8,14,8,2
2,1,63,30,6,8,14,4,1
1,4,53,27,8,2,14,2,0
1,4,78,42,8,6,14,7,1
1,2,40,21,8,0,11,0,0
1,4,41,27,4,2,8,0,0
2,4,64,30,8,8,14,4,0
1,4,35,21,2,0,10,2,0
1,4,64,36,8,4,14,0,2
1,1,48,24,4,4,14,2,0
1,4,64,30,8,2,14,8,2
1,4,48,36,8,0,4,0,0
1,4,50,36,4,2,4,4,0
2,1,100,54,8,8,14,10,6
1,4,65,27,8,4,14,10,2
1,4,43,27,0,4,10,2,0
1,4,68,33,8,2,14,8,3
1,4,82,42,8,6,14,10,2
1,4,60,30,8,0,14,7,1
2,1,81,42,8,4,14,9,4
2,4,49,24,8,2,4,8,3
2,1,90,48,8,8,14,10,2
2,2,68,30,8,0,14,10,6
1,2,59,27,6,4,14,8,0
2,1,95,54,8,8,14,8,3
2,1,84,51,8,6,10,9,0
2,1,73,39,8,6,14,4,2
2,2,57,21,8,2,10,10,6
1,1,52,30,6,4,10,2,0
2,4,11,9,0,0,2,0,0
2,4,85,51,8,8,14,2,2
2,1,84,45,8,8,13,8,2
1,4,57,24,8,8,8,7,2
2,1,64,27,8,4,14,8,3
1,1,75,45,4,6,14,4,2
2,1,100,54,8,8,14,10,6
2,2,57,24,8,6,14,7,0
2,4,65,36,8,4,14,2,1
2,1,75,45,8,6,14,0,2
2,2,64,33,8,4,12,7,0
1,2,76,42,8,4,12,8,2
1,4,55,21,8,2,14,10,0
1,1,85,48,8,6,14,8,1
2,2,75,42,8,4,14,5,2
1,1,67,39,6,6,4,10,2
2,2,40,24,4,4,6,2,0
2,4,47,24,8,6,4,5,0
2,2,35,18,6,0,2,9,0
2,1,83,45,8,4,14,10,2
2,4,53,39,4,0,10,0,0
2,1,82,48,8,4,14,7,1
2,4,47,33,2,4,8,0,0
2,2,67,36,8,0,14,7,2
1,1,83,45,8,6,14,10,0
1,1,63,30,8,4,14,7,0
1,4,32,24,0,2,4,2,0
1,4,32,18,4,0,8,2,0
1,4,49,21,8,2,14,4,0
2,2,60,36,8,2,14,0,0
2,2,85,45,8,4,14,10,4
2,2,67,33,6,6,12,10,0
1,2,57,33,8,2,4,10,0
1,1,61,30,6,6,14,5,0
2,1,82,48,8,6,14,6,0
1,2,48,30,0,4,14,0,0
