Dimension 1,Dimension 2,Dimension 3,Label
3.7880678,3.5184796,1.17074,1.2652319908214473
-0.5739037,6.537866,3.948063,-0.9447802202203823
-2.9368327,-2.6018558,2.997625,1.2652319908214473
2.8629935,-0.92721725,2.007205,-0.9447802202203823
-3.864405,4.509174,1.4839083,-0.2081094832064391
-6.9595942,0.29362458,3.7356656,1.2652319908214473
-6.123819,-0.82257086,-0.13919446,-0.9447802202203823
-7.5368085,2.9632945,-0.049680673,-0.9447802202203823
3.9825735,5.3343077,1.2393392,1.2652319908214473
-2.3535218,5.1287737,5.4542093,1.2652319908214473
6.6776175,-1.1725721,-4.800513,1.2652319908214473
3.8663187,2.903723,1.4157611,1.2652319908214473
-2.868869,-3.2204244,3.8642642,-0.2081094832064391
0.9330136,-4.2284594,-3.5161,1.2652319908214473
1.7612939,-2.2448323,-2.928969,-0.9447802202203823
-1.5556353,-1.961081,0.4683706,1.2652319908214473
5.6700926,3.4621274,2.3040957,-0.9447802202203823
1.0255182,-4.6652145,-4.6522613,-0.9447802202203823
2.6517785,-3.071327,-4.176941,1.2652319908214473
3.032117,1.081094,1.4896548,1.2652319908214473
-1.4217453,-3.7305918,-7.1994767,-0.9447802202203823
5.6354837,-0.699212,-4.990219,-0.9447802202203823
-9.649398,1.1488997,0.03965282,-0.9447802202203823
-0.5047403,1.5228482,5.229171,1.2652319908214473
-3.2567167,4.099928,2.6882658,-0.2081094832064391
2.623143,2.4490392,-1.1243122,1.2652319908214473
-0.1775852,-4.616992,0.52023846,-0.2081094832064391
-0.14018284,-0.35619012,-0.7327503,-0.9447802202203823
-4.3223834,-0.5707449,-3.1290205,-0.9447802202203823
-6.02924,1.2246106,-3.241011,-0.9447802202203823
1.7733043,-4.4208093,-6.707421,-0.9447802202203823
-1.6774473,-4.1128545,-0.620324,1.2652319908214473
-7.8585095,1.8698442,-0.40037364,-0.9447802202203823
-6.7942944,-1.202483,3.718354,-0.9447802202203823
5.3179913,-1.6688597,-5.252859,1.2652319908214473
0.38195696,-3.1443155,-0.26112026,1.2652319908214473
1.8632498,-2.416893,-2.969675,1.2652319908214473
-2.3352957,5.6245017,4.97613,-0.2081094832064391
-0.587307,7.0693536,3.8637004,-0.9447802202203823
0.09960013,5.3870506,0.031436626,-0.9447802202203823
-5.5586576,3.3566566,1.2785832,1.2652319908214473
-6.0000963,0.64799124,4.766722,1.2652319908214473
-3.007731,-1.9136242,4.8317246,1.2652319908214473
-8.637781,1.9747337,1.1617718,-0.9447802202203823
1.6893489,3.9502027,1.9480183,-0.2081094832064391
2.4610612,-2.336977,-3.3790495,1.2652319908214473
6.2462635,1.2023035,1.0286595,-0.2081094832064391
-0.41439638,7.0507355,3.260357,-0.9447802202203823
5.4315076,-2.2721605,-2.768146,1.2652319908214473
-9.263329,1.8571918,-0.30349568,-0.9447802202203823
1.4905413,4.7122097,0.48644522,-0.2081094832064391
-7.7336774,1.7336663,0.1765612,-0.9447802202203823
6.8945355,-3.3634987,-3.7849226,-0.2081094832064391
2.5140734,-3.0749795,-1.8807532,-0.2081094832064391
-4.0632076,-1.7149009,0.31317568,-0.9447802202203823
-6.791231,2.4289067,-2.2490547,-0.9447802202203823
-3.0426588,0.17625903,3.360273,-0.9447802202203823
-1.2693745,-4.3423753,-0.09507544,-0.2081094832064391
7.0624976,-1.8872619,-4.445918,-0.2081094832064391
-4.4955626,-0.1296452,-2.0824525,-0.9447802202203823
-9.173737,1.7061476,0.82756954,-0.9447802202203823
0.5028145,-4.772261,-5.7071457,-0.9447802202203823
-7.455898,0.9785472,2.0877044,-0.9447802202203823
-8.420854,3.1387112,0.43988,-0.9447802202203823
-9.102908,0.68079287,1.7729348,1.2652319908214473
5.0326076,0.76221675,-0.75374067,-0.9447802202203823
-0.8526656,4.2275157,4.14672,-0.9447802202203823
2.9797018,-5.0516396,-6.4211373,1.2652319908214473
-2.440114,6.20015,4.264991,1.2652319908214473
4.5204015,-5.2518954,-5.5000105,-0.9447802202203823
-0.50165457,5.5396633,0.60980594,-0.2081094832064391
7.2518196,-4.8424773,-3.5491548,-0.2081094832064391
-3.2603617,-2.2564943,-0.007789375,-0.9447802202203823
-0.9366573,4.12667,4.2118974,-0.9447802202203823
0.8163732,-1.6457582,-3.6986718,1.2652319908214473
2.9520733,-3.6015813,-2.4308703,-0.9447802202203823
2.5858524,0.58597594,1.184615,-0.2081094832064391
-3.6748905,-0.8776317,-3.5520163,-0.9447802202203823
-4.846905,0.02645631,0.2703869,-0.9447802202203823
-4.4991603,0.5825618,0.942861,-0.9447802202203823
0.675036,-0.86987865,3.7483885,-0.9447802202203823
2.6220229,-3.542576,-7.328749,-0.9447802202203823
-6.122562,0.98366016,0.072138675,-0.9447802202203823
-2.1637154,4.7871156,5.7729964,-0.9447802202203823
1.3000426,1.3815758,-1.5654496,-0.9447802202203823
-4.440241,-0.42114884,2.5166988,-0.9447802202203823
-2.4068418,-0.8030642,-1.7817687,-0.9447802202203823
2.9124424,-5.062182,-6.458815,-0.9447802202203823
-5.5846796,0.07147949,-2.4422417,-0.9447802202203823
1.422942,-2.395888,1.1263716,-0.9447802202203823
-8.12973,1.0869677,3.961086,-0.9447802202203823
2.7149267,-0.3490109,2.3410425,1.2652319908214473
-2.3482563,-2.0296502,0.1820797,-0.9447802202203823
0.59402376,-4.7809105,-6.062541,-0.9447802202203823
-2.9868937,4.755302,2.0635471,1.2652319908214473
-1.2422045,-4.53527,-5.2356505,1.2652319908214473
-1.3652489,-1.8692694,2.0440557,-0.9447802202203823
-5.574876,1.2264959,-0.9413272,-0.9447802202203823
-7.9510345,0.66721,3.5770197,-0.9447802202203823
-1.8672734,-1.1517183,3.0976346,-0.9447802202203823
0.67706466,5.4737525,0.13761735,-0.2081094832064391
-0.0447103,-5.3309717,-4.8992896,-0.9447802202203823
-3.2136312,-1.795929,-0.5615281,1.2652319908214473
-6.617851,-0.9614637,-0.64165306,-0.9447802202203823
0.49928322,-5.043843,-5.3935614,-0.9447802202203823
-4.6380706,1.6524404,-0.7723334,-0.9447802202203823
1.3677125,-3.7713966,-6.669118,-0.9447802202203823
-1.4721283,1.780986,1.9459409,-0.9447802202203823
-2.6698964,3.226207,-0.08208502,-0.2081094832064391
-5.956335,1.0918397,-0.7716419,-0.9447802202203823
-1.1207919,-2.3027859,0.6545825,-0.9447802202203823
3.4338164,2.0898862,1.2746041,1.2652319908214473
3.6523583,0.61035794,-2.0319905,-0.2081094832064391
2.6567464,-1.4009411,2.8605077,-0.2081094832064391
-1.2626382,5.258359,1.8776395,-0.9447802202203823
4.298901,3.0330625,1.9262029,1.2652319908214473
-3.0009656,-2.4337802,-2.8523827,-0.9447802202203823
-0.2221409,-4.4451346,2.0776699,-0.2081094832064391
-1.410321,4.6134577,3.795527,-0.9447802202203823
-4.5883374,1.8798562,3.8207474,-0.9447802202203823
2.662512,-3.5726361,-7.423371,-0.9447802202203823
-6.0096903,3.1620111,0.89943457,-0.9447802202203823
-3.0608644,0.39027932,2.9866922,-0.9447802202203823
0.19264187,-2.2214181,3.9281173,1.2652319908214473
-0.20467559,4.1506147,4.0751233,1.2652319908214473
-0.30680925,6.8122563,3.7308471,1.2652319908214473
-5.3378267,-0.50939226,1.00302,-0.9447802202203823
-1.2878027,1.7675911,4.900498,1.2652319908214473
-4.2496076,3.6145794,3.1410496,-0.2081094832064391
5.5213795,3.6245189,2.067562,1.2652319908214473
0.14309543,-4.519746,-6.4426694,-0.9447802202203823
-5.7303147,-0.20932345,4.593879,-0.9447802202203823
0.45793185,5.246552,-0.017383398,-0.2081094832064391
-7.3261347,1.0962317,3.8583765,-0.9447802202203823
2.4527686,2.98375,0.79699683,1.2652319908214473
5.818405,-0.60931736,-4.2804837,-0.9447802202203823
6.274923,-2.082646,-1.8154975,1.2652319908214473
-0.4321746,-3.2218454,3.0959065,1.2652319908214473
0.06407115,-1.8717029,3.9940934,-0.2081094832064391
-0.07943697,-5.302248,-4.883436,-0.9447802202203823
3.0656562,0.046992306,-3.5401828,1.2652319908214473
8.16734,0.29770604,-1.4969074,-0.2081094832064391
-0.46277422,1.3836455,5.1896787,-0.2081094832064391
-1.9777366,-1.7225226,0.08909021,-0.2081094832064391
2.5213976,-2.0093489,1.3196613,1.2652319908214473
7.9654746,-1.1177404,-1.8927662,1.2652319908214473
3.0903559,5.6691055,1.0082481,1.2652319908214473
3.9008477,3.1385014,-0.13081338,1.2652319908214473
-5.1952124,0.32393596,3.7912204,1.2652319908214473
-6.7499804,1.7815441,-2.3506634,1.2652319908214473
1.0808117,-3.4908943,-2.591454,-0.9447802202203823
-3.791812,-0.22833131,-1.8801702,1.2652319908214473
3.154902,-0.5412537,2.4161532,-0.2081094832064391
0.5218797,-3.4116445,-0.89936465,1.2652319908214473
-0.104248814,0.98596895,0.7065227,1.2652319908214473
6.052839,-2.1316745,-2.2150285,-0.9447802202203823
-3.3377786,-0.6060054,4.1855526,1.2652319908214473
4.6032677,4.605673,0.81870985,1.2652319908214473
7.617459,1.8786875,-1.7052311,1.2652319908214473
-5.140709,-1.4753422,4.2791543,1.2652319908214473
-4.093307,0.4465397,4.184664,1.2652319908214473
-0.24362282,-1.2894816,4.0246625,1.2652319908214473
-9.212593,0.7549362,1.4381789,-0.9447802202203823
-6.86642,2.1207929,-2.324496,-0.9447802202203823
2.9549303,-4.213874,-2.7149282,-0.2081094832064391
-5.209208,0.6605465,-3.906455,-0.9447802202203823
-3.6336503,2.3445168,-0.86748093,-0.9447802202203823
5.117816,0.009825515,-0.6682297,-0.9447802202203823
-6.491959,2.5861766,-1.6803194,-0.9447802202203823
-5.42821,-0.13311474,4.4896297,-0.9447802202203823
0.03252871,-4.455032,0.4349498,-0.2081094832064391
0.1412378,0.47791228,0.012772957,1.2652319908214473
-1.0677638,-2.2594707,0.4913282,-0.2081094832064391
-4.697763,0.47253832,0.97918236,-0.2081094832064391
-0.052512478,-3.5841336,3.0881865,1.2652319908214473
-5.1334295,-0.010773757,-2.2637017,-0.9447802202203823
-3.871976,0.7277867,0.62682796,-0.2081094832064391
6.939988,0.00361957,-1.039257,-0.2081094832064391
1.5439963,4.4596553,3.36534,1.2652319908214473
8.214434,-0.334307,-3.0278006,1.2652319908214473
-4.8710046,-0.8084621,-0.97472,-0.9447802202203823
7.277271,0.768395,-3.0737033,1.2652319908214473
-2.131627,0.15050435,3.8363662,-0.2081094832064391
2.0763085,-2.1011875,2.5504348,1.2652319908214473
1.7011303,0.88691723,-0.74849457,-0.2081094832064391
-9.361002,0.8170036,1.0863781,-0.2081094832064391
2.0540497,-4.676515,-3.8864903,-0.2081094832064391
0.46020612,5.9858613,2.9460607,-0.2081094832064391
2.1820467,-3.1485019,-2.4672904,-0.9447802202203823
-2.2144449,-0.17218241,-2.3427045,-0.9447802202203823
2.3080745,3.1228197,1.7455223,-0.2081094832064391
7.4826794,1.9494594,-1.9843042,-0.2081094832064391
-8.282963,1.2518331,3.891175,1.2652319908214473
-6.4966884,2.700243,-1.642398,-0.9447802202203823
-6.243464,0.845262,1.0341421,-0.9447802202203823
-7.9602947,1.6630257,-0.37549874,-0.9447802202203823
-0.02046143,-4.1365185,-6.7442174,-0.9447802202203823
-2.964858,0.21263619,4.0401244,-0.9447802202203823
1.142092,-3.6372678,-6.691005,-0.9447802202203823
-5.349976,-1.413954,4.344706,1.2652319908214473
3.9961307,-4.202496,-3.8693027,-0.9447802202203823
-3.9433644,-0.297293,-1.9368767,-0.9447802202203823
