Programme,MCQ,Q1,Q2,Q3,Q4,Q5
2,27,6,4,14,8,0
1,54,8,8,14,8,3
1,51,8,6,10,9,0
1,39,8,6,14,4,2
2,21,8,2,10,10,6
1,30,6,4,10,2,0
4,9,0,0,2,0,0
4,51,8,8,14,2,2
1,45,8,8,13,8,2
4,24,8,8,8,7,2
1,27,8,4,14,8,3
1,45,4,6,14,4,2
1,54,8,8,14,10,6
2,24,8,6,14,7,0
4,36,8,4,14,2,1
1,45,8,6,14,0,2
2,33,8,4,12,7,0
2,42,8,4,12,8,2
4,21,8,2,14,10,0
1,48,8,6,14,8,1
2,42,8,4,14,5,2
1,39,6,6,4,10,2
2,24,4,4,6,2,0
4,24,8,6,4,5,0
2,18,6,0,2,9,0
1,45,8,4,14,10,2
4,39,4,0,10,0,0
1,48,8,4,14,7,1
4,33,2,4,8,0,0
2,36,8,0,14,7,2
1,45,8,6,14,10,0
1,30,8,4,14,7,0
4,24,0,2,4,2,0
4,18,4,0,8,2,0
4,21,8,2,14,4,0
2,36,8,2,14,0,0
2,45,8,4,14,10,4
2,33,6,6,12,10,0
2,33,8,2,4,10,0
1,30,6,6,14,5,0
1,48,8,6,14,6,0
2,30,0,4,14,0,0
2,30,8,4,8,2,0
2,39,4,4,4,2,0
4,36,8,2,14,9,2
4,33,8,8,12,10,4
1,45,8,8,12,8,2
1,33,8,6,2,6,0
1,39,8,6,13,10,2
1,48,8,6,14,8,3
1,42,6,6,14,10,2
1,36,8,2,13,10,2
1,42,6,4,14,9,2
4,27,0,2,12,2,0
4,27,8,4,12,10,2
1,33,4,6,14,8,0
1,42,8,6,14,8,1
1,45,8,4,14,10,2
1,24,8,4,14,8,2
1,39,8,6,14,10,6
4,36,8,4,6,8,2
4,27,8,2,4,2,0
4,30,8,8,8,0,0
4,24,6,0,2,9,0
4,27,8,2,2,8,0
4,30,8,2,4,0,0
4,45,8,6,14,4,0
4,24,8,0,14,7,0
1,48,6,6,7,10,6
4,39,4,4,13,0,0
4,33,8,0,8,4,0
4,15,6,2,10,10,2
4,21,4,2,14,8,0
4,27,8,0,2,4,0
4,39,8,2,14,5,3
4,27,8,4,14,8,1
4,33,4,2,14,9,0
1,42,8,2,14,8,1
2,18,8,2,14,5,0
4,30,8,6,14,8,0
1,45,8,6,6,9,2
2,24,0,0,14,0,0
1,24,8,4,4,7,0
2,30,6,0,14,0,0
2,45,8,0,12,0,0
1,39,8,2,12,2,0
4,33,4,4,10,10,1
4,21,8,2,7,0,2
1,36,8,2,14,9,1
4,27,4,2,6,0,0
4,21,2,0,14,4,0
4,27,6,2,8,0,0
2,30,6,0,14,4,0
2,42,6,8,11,6,2
4,30,8,6,12,10,2
1,39,8,6,12,7,2
2,24,4,4,14,0,1
4,33,8,2,9,7,2
1,42,6,6,12,7,2
2,33,8,4,4,10,0
4,39,4,4,10,0,0
4,33,8,2,6,7,0
2,39,2,0,4,0,0
1,36,8,2,6,2,0
1,42,8,6,12,8,2
2,33,8,6,8,8,2
1,27,6,8,12,10,2
1,30,8,4,14,4,0
1,33,8,6,14,10,3
4,21,8,6,10,10,0
2,27,8,0,6,2,0
4,33,4,4,14,2,2
