Index,Gender,Programme,Grade,Total,MCQ,Q1,Q2,Q3,Q4,Q5
181,1,1,2,87,51,8,4,12,10,2
182,2,1,2,67,33,6,6,12,8,2
183,1,1,2,77,39,8,6,14,10,0
184,2,1,2,78,42,8,6,14,6,2
185,2,1,2,73,39,6,4,14,8,2
186,2,1,2,61,30,8,4,14,2,4
187,2,2,2,65,39,8,6,8,2,2
188,2,1,2,83,45,8,6,14,8,2
189,1,1,2,66,33,8,4,14,7,0
190,2,1,2,98,54,8,8,14,10,4
191,2,4,2,87,54,8,6,10,8,1
192,2,1,2,96,54,8,8,14,10,2
193,2,4,2,49,30,8,2,9,0,0
194,2,2,2,57,36,6,2,12,0,1
195,2,2,2,42,18,8,0,14,2,0
196,2,2,2,44,33,8,0,2,0,1
197,2,1,2,64,33,8,6,6,10,1
198,2,4,2,43,27,8,2,6,0,0
199,2,1,2,74,36,8,8,14,7,1
200,1,2,2,56,21,8,4,13,10,0
201,2,1,2,79,42,8,6,14,3,6
202,2,1,2,62,36,8,2,4,10,2
203,2,1,2,72,39,8,2,12,7,4
204,2,1,2,64,33,6,2,14,7,2
205,2,1,2,80,45,8,6,11,7,3
206,2,1,2,72,39,8,2,14,7,2
207,2,4,2,57,27,8,0,14,8,0
208,1,4,2,50,27,8,4,4,5,2
209,2,4,2,58,36,6,2,4,10,0
210,2,1,2,80,42,8,4,14,10,2
211,1,4,2,64,33,8,2,10,10,1
212,1,1,2,87,45,8,8,14,10,2
213,2,2,2,71,36,8,4,10,10,3
214,1,4,2,36,24,8,0,4,0,0
215,2,1,2,64,42,6,4,10,0,2
216,2,2,2,66,30,8,4,14,10,0
217,2,1,2,75,39,6,6,12,10,2
218,2,1,2,67,30,8,4,12,10,3
219,2,2,2,68,42,8,6,7,5,0
220,2,1,2,73,33,8,6,14,8,4
221,1,4,2,56,36,8,4,8,0,0
222,2,1,2,61,39,4,4,14,0,0
223,2,4,2,43,21,4,4,12,2,0
224,2,2,2,29,21,6,0,2,0,0
225,2,4,2,28,18,6,0,4,0,0
226,2,4,2,61,27,8,2,14,10,0
227,2,2,2,59,30,8,0,14,7,0
